id,stationName,longitude,latitude
445,California Ave & 26th St,-87.6952959227,41.84404003127
446,Western Ave & 28th St,-87.6851314409,41.84151770807
447,Glenwood Ave & Morse Ave,-87.6655023944,42.00797192287
448,Warren Park East,-87.6806661451,42.00454962194
449,Clark St & Columbia Ave,-87.6724024047,42.00445062934
450,Warren Park West,-87.688829,42.001785
451,Sheridan Rd & Loyola Ave,-87.6611982433,42.00104377979
452,Western Ave & Granville Ave,-87.689438282,41.99416136902
453,Clark St & Schreiber Ave,-87.6713773393,41.99925182186
454,Broadway & Granville Ave,-87.6602845349,41.9947796884
455,Maplewood Ave & Peterson Ave,-87.6933696402,41.99023602867
456,2112 W Peterson Ave,-87.683593,41.991178
457,Clark St & Elmdale Ave,-87.669758,41.990887
458,Broadway & Thorndale Ave,-87.6601406209,41.98974251144
459,Lakefront Trail & Bryn Mawr Ave,-87.6523104689,41.98403669612
460,Clark St & Bryn Mawr Ave,-87.669154,41.983593
461,Broadway & Ridge Ave,-87.6602738295,41.9840446107
462,Winchester (Ravenswood) Ave & Balmoral Ave,-87.67753,41.979762
463,Clark St & Berwyn Ave,-87.6680471047,41.9779966544
464,Damen Ave & Foster Ave,-87.6794590387,41.97561480459
465,Marine Dr & Ainslie St,-87.650154,41.9716
466,Ridge Blvd & Touhy Ave,-87.6829126443,42.01213227742
467,Western Ave & Lunt Ave,-87.6904922389,42.0085943972
468,Budlong Woods Library,-87.6964225611,41.98366470886
469,St. Louis Ave & Balmoral Ave,-87.7161149615,41.98039423475
470,Kedzie Ave & Foster Ave,-87.709261,41.975672
471,Francisco Ave & Foster Ave,-87.7014194389,41.97563272521
472,Lincoln Ave & Winona St,-87.6925025594,41.97491129677
474,Christiana Ave & Lawrence Ave,-87.7118306675,41.96835449363
475,Washtenaw Ave & Lawrence Ave,-87.696027,41.968987
476,Kedzie Ave & Leland Ave,-87.7080519806,41.96668636205
477,Manor Ave & Leland Ave,-87.700825,41.965875
478,Rockwell St & Eastwood Ave,-87.6936384935,41.96590013976
479,Drake Ave & Montrose Ave,-87.7165690733,41.96115407569
480,Albany Ave & Montrose Ave,-87.705866,41.961041
481,California Ave & Montrose Ave,-87.695439,41.961068
482,Campbell Ave & Montrose Ave,-87.6911650414,41.96152593287
483,Avondale Ave & Irving Park Rd,-87.732002,41.953393
484,Monticello Ave & Irving Park Rd,-87.7191281797,41.95400483876
485,Sawyer Ave & Irving Park Rd,-87.7093107999,41.95358617895
486,Oakley Ave & Irving Park Rd,-87.6860796243,41.95434085219
487,California Ave & Byron St,-87.698051113,41.95216219326
488,Pulaski Rd & Eddy St (Temp),-87.731023,41.946264
489,Drake Ave & Addison St,-87.717582,41.947326
490,Troy St & Elston Ave,-87.7066499009,41.94524356848
491,Talman Ave & Addison St,-87.694614758,41.9466358306
492,Leavitt St & Addison St,-87.683359,41.946655
493,Western Ave & Roscoe St,-87.687288,41.943034
494,Kedzie Ave & Bryn Mawr Ave,-87.7089225202,41.98239708485
495,Keystone Ave & Montrose Ave,-87.7289701012,41.96110801623
496,Avers Ave & Belmont Ave,-87.723574,41.939408
497,Kimball Ave & Belmont Ave,-87.711561,41.939398
498,California Ave & Fletcher St,-87.698007756,41.93842879148
499,Kosciuszko Park,-87.7237773635,41.93058537138
500,Central Park Ave & Elbridge Ave,-87.7168892935,41.93533728263
501,Richmond St & Diversey Ave,-87.7011951301,41.93190196886
502,California Ave & Altgeld St,-87.697668,41.92669
503,Drake Ave & Fullerton Ave,-87.7154410355,41.924398819
504,Campbell Ave & Fullerton Ave,-87.6893070063,41.92463247165
505,Winchester Ave & Elston Ave,-87.6764600747,41.92409085038
